1980	2727.50	0
1981	2922.10	7.13 
1982	3269.30	11.88 
1983	3681.40	12.61 
1984	3931.20	6.79 
1985	4073.10	3.61 
1986	4197.07	3.04 
1987	4227.07	0.71 
1988	4161.25	-1.56 
1989	4071.95	-2.15 
1990	4218.85	3.61 
1991	4504.24	6.76 
1992	12509.22	177.72
1993	11832.96	-5.41 
1994	12031.62	1.68 
1995	12162.32	1.09 
1996	12422.22	2.14 
1997	12508.83	0.70 
1998	12398.52	-0.88
1999	12673.42	2.22 
2000	12940.72	2.11 
2001	13363.01	3.26 
2002	13812.31	3.36 
2003	14263.11	3.26 
2004	14606.61	2.41 
2005	14359.11	-1.69
2006	14139.11	-1.53
2007	14082.91	-0.40
2008	13756.00	-2.32
2009	13651.30	-0.76
2010	13541.71	-0.80
2011	13274.30	-1.97
